category,scientific_name,common_names,conservation_status
Vascular Plant,Ostrya,Hophornbeam,No Intervention
Vascular Plant,Ostrya virginiana,"Eastern Hop-Hornbeam, Hop-Hornbeam",No Intervention
Vascular Plant,Castanea dentata,American Chestnut,No Intervention
Vascular Plant,Castanea mollissima,Chinese Chestnut,No Intervention
Vascular Plant,Castanea pumila,Allegheny Chinkapin,No Intervention
Vascular Plant,Fagus grandifolia,American Beech,No Intervention
Vascular Plant,Quercus,Oak,No Intervention
Vascular Plant,Quercus alba,White Oak,No Intervention
Vascular Plant,Quercus bicolor,Swamp White Oak,No Intervention
Vascular Plant,Quercus coccinea,Scarlet Oak,No Intervention
Vascular Plant,Quercus falcata,"Southern Red Oak, Spanish Oak",No Intervention
Vascular Plant,Quercus imbricaria,Shingle Oak,No Intervention
Vascular Plant,Quercus marilandica,Blackjack Oak,No Intervention
Vascular Plant,Quercus michauxii,Swamp Chestnut Oak,No Intervention
Vascular Plant,Quercus muehlenbergii,"Chinkapin Oak, Yellow Oak",No Intervention
Vascular Plant,Quercus palustris,Pin Oak,No Intervention
Vascular Plant,Quercus phellos,Willow Oak,No Intervention
Vascular Plant,Quercus prinus,Chestnut Oak,No Intervention
Vascular Plant,Quercus rubra var. ambigua,Northern Red Oak,No Intervention
Vascular Plant,Quercus shumardii,Shumard Oak,No Intervention
Vascular Plant,Quercus stellata,Post Oak,No Intervention
Vascular Plant,Quercus velutina,Black Oak,No Intervention
Vascular Plant,Quercus X saulii,Saul's Oak,No Intervention
Vascular Plant,Carya alba,Mockernut Hickory,No Intervention
Vascular Plant,Carya carolinae-septentrionalis,Carolina Shagbark Hickory,No Intervention
Vascular Plant,Carya cordiformis,"Bitternut Hickory, Bitter-Nut Hickory",No Intervention
Vascular Plant,Carya glabra,"Pignut Hickory, Sweet Pignut Hickory",No Intervention
Vascular Plant,Carya illinoinensis,Pecan,No Intervention
Vascular Plant,Carya laciniosa,Shellbark Hickory,No Intervention
Vascular Plant,Carya ovalis,"Red Hickory, Sweet Pignut Hickory",No Intervention
Vascular Plant,Carya ovata,"Shagbark Hickory, Shag-Bark Hickory",No Intervention
Vascular Plant,Carya pallida,"Pale Hickory, Sand Hickory",No Intervention
Vascular Plant,Juglans cinerea,"Butternut, White Walnut",Species of Concern
Vascular Plant,Juglans mandshurica,Manchu Walnut,No Intervention
Vascular Plant,Juglans nigra,Black Walnut,No Intervention
Vascular Plant,Comptonia peregrina,Sweet Fern,No Intervention
Vascular Plant,Amsonia tabernaemontana var. tabernaemontana,Eastern Bluestar,No Intervention
Vascular Plant,Apocynum androsaemifolium,Spreading Dogbane,No Intervention
Vascular Plant,Apocynum cannabinum,"Clasping-Leaf Dogbane, Indianhemp",No Intervention
Vascular Plant,Asclepias amplexicaulis,"Blunt-Leaved Milkweed, Clasping Milkweed",No Intervention
Vascular Plant,Asclepias exaltata,Poke Milkweed,No Intervention
Vascular Plant,Asclepias incarnata ssp. incarnata,Swamp Milkweed,No Intervention
Vascular Plant,Asclepias incarnata ssp. pulchra,Swamp Milkweed,No Intervention
Vascular Plant,Asclepias quadrifolia,"Four-Leaved Milkweed, Whorled Milkweed",No Intervention
Vascular Plant,Asclepias syriaca,"Common Milkweed, Kansas Milkweed",No Intervention
Vascular Plant,Asclepias tuberosa,"Butterfly-Weed, Butterfly Milkweed",No Intervention
Vascular Plant,Asclepias variegata,White Milkweed,No Intervention
Vascular Plant,Asclepias verticillata,Whorled Milkweed,No Intervention
Vascular Plant,Cynanchum laeve,Cynanchum,No Intervention
Vascular Plant,Matelea gonocarpos,"Angular-Fruited Milkvine, Climbing Milkweed",No Intervention
Vascular Plant,Matelea obliqua,Climbing Milkvine,No Intervention
Vascular Plant,Vinca major,Large Periwinkle,No Intervention
Vascular Plant,Vinca minor,Periwinkle,No Intervention
Vascular Plant,Bartonia paniculata,Twining Screwstem,No Intervention
Vascular Plant,Bartonia paniculata ssp. paniculata,Twining Screwstem,No Intervention
Vascular Plant,Bartonia virginica,"Bartonia, Yellow Screwstem",No Intervention
Vascular Plant,Frasera caroliniensis,American Columbo,No Intervention
Vascular Plant,Gentiana clausa,Bottle Gentian,No Intervention
Vascular Plant,Gentiana decora,"Mountain Gentian, Showy Gentian",No Intervention
Vascular Plant,Gentiana linearis,"Linear-Leaved Gentian, Narrow-Leaved Gentian",No Intervention
Vascular Plant,Gentiana saponaria,"Soap Gentian, Soapwort Gentian",No Intervention
Vascular Plant,Gentiana villosa,"Hairy Gentian, Striped Gentian",No Intervention
Vascular Plant,Gentianella quinquefolia ssp. quinquefolia,Stiff Gentian,No Intervention
Vascular Plant,Obolaria virginica,"Pennywort, Virginia Pennywort",No Intervention
Vascular Plant,Sabatia angularis,"Rose-Pink, Square-Stemmed Rose Pink",No Intervention
Vascular Plant,Sabatia campanulata,"Campanulate Sabatia, Slender Marsh Pink",No Intervention
Vascular Plant,Spigelia marilandica,"Indian Pink, Woodland Pinkroot",No Intervention
Vascular Plant,Cephalanthus occidentalis,"Buttonbush, Common Buttonbush",No Intervention
Vascular Plant,Cruciata pedemontana,"Narrow Bedstraw, Piedmont Bedstraw",No Intervention
Vascular Plant,Diodia teres,Rough Buttonweed,No Intervention
Vascular Plant,Diodia virginiana,"Larger Button-Weed, Virginia Buttonweed",No Intervention
Vascular Plant,Galium aparine,"Catchweed Bedstraw, Cleavers",No Intervention
Vascular Plant,Galium asprellum,Rough Bedstraw,No Intervention
Vascular Plant,Galium circaezans,Wild Licorice,No Intervention
Vascular Plant,Galium concinnum,Shining Bedstraw,No Intervention
Vascular Plant,Galium lanceolatum,"Torrey's Wild Licorice, Yellow Wild Licorice",No Intervention
Vascular Plant,Galium latifolium,"Broad-Leaved Bedstraw, Purple Bedstraw",No Intervention
Vascular Plant,Galium obtusum,"Blunt-Leaf Bedstraw, Blunt-Leaved Bedstraw",No Intervention
Vascular Plant,Galium pedemontana,Narrow Bedstraw,No Intervention
Vascular Plant,Galium pilosum,Hairy Bedstraw,No Intervention
Vascular Plant,Galium pilosum var. pilosum,Hairy Bedstraw,No Intervention
Vascular Plant,Galium pilosum var. puncticulosum,Hairy Bedstraw,No Intervention
Vascular Plant,Galium tinctorium,"Marsh Bedstraw, Stiff Marsh Bedstraw",No Intervention
Vascular Plant,Galium triflorum,Fragrant Bedstraw,No Intervention
Vascular Plant,Houstonia caerulea,"Bluets, Quaker Ladies, Innocence",No Intervention
Vascular Plant,Houstonia longifolia,"Longleaf Bluet, Longleaf Summer Bluet",No Intervention
Vascular Plant,Houstonia longifolia var. longifolia,Long-Leaved Bluets,No Intervention
Vascular Plant,Houstonia longifolia var. tenuifolia,Narrow-Leaved Bluets,No Intervention
Vascular Plant,Houstonia purpurea,"Purple Bluet, Woodland Bluets",No Intervention
Vascular Plant,Houstonia purpurea var. calycosa,Venus' Pride,No Intervention
Vascular Plant,Houstonia purpurea var. purpurea,Venus' Pride,No Intervention
Vascular Plant,Houstonia serpyllifolia,"Michaux Bluet, Thyme-Leaved Bluets",No Intervention
Vascular Plant,Mitchella repens,"Partridgeberry, Partridge-Berry",No Intervention
Vascular Plant,Sherardia arvensis,"Field Madder, Silver Buffalo-Berry",No Intervention
Vascular Plant,Erodium cicutarium,"Pin Clover, Pin-Clover",No Intervention
Vascular Plant,Geranium carolinianum,"Carolina Cranesbill, Carolina Crane's-Bill",No Intervention
Vascular Plant,Geranium columbinum,"Long-Stalk Crane's-Bill, Long-Stalked Cranesbill",No Intervention
Vascular Plant,Geranium maculatum,"Wild Crane's-Bill, Wild Geranium",No Intervention
Vascular Plant,Geranium molle,"Dovesfoot Cranesbill, Doves-Foot Crane's-Bill",No Intervention
Vascular Plant,Geranium pusillum,Small Geranium,No Intervention
Vascular Plant,Geranium sibiricum,"Siberian Cranesbill, Siberian Crane's-Bill",No Intervention
Vascular Plant,Geranium thunbergii,Thunberg's Geranium,No Intervention
Vascular Plant,Hymenophyllum tayloriae,Taylor's Filmy Fern,No Intervention
Vascular Plant,Trichomanes boschianum,"Appalachian Bristle Fern, Bristle-Fern",No Intervention
Vascular Plant,Trichomanes intricatum,Weft Fern,No Intervention
Vascular Plant,Trichomanes petersii,"Dwarf Filmy Fern, Dwarf Filmy-Fern",No Intervention
Vascular Plant,Isoetes engelmannii,"Appalachian Quillwort, Engelmann's Quillwort",No Intervention
Vascular Plant,Isoetes macrospora,Lake Quillwort,No Intervention
Vascular Plant,Isoetes valida,Strong Quillwort,No Intervention
Vascular Plant,Justicia americana,"Common Water-Willow, Water-Willow",No Intervention
Vascular Plant,Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Carolina Wild Petunia,No Intervention
Vascular Plant,Ruellia caroliniensis ssp. ciliosa var. cinerascens,Carolina Wild Petunia,No Intervention
Vascular Plant,Ruellia humilis,Hairy Wild-Petunia,No Intervention
Vascular Plant,Ruellia strepens,Limestone Wild Petunia,No Intervention
Vascular Plant,Bignonia capreolata,"Crossvine, Cross-Vine",No Intervention
Vascular Plant,Campsis radicans,Trumpet-Creeper,No Intervention
Vascular Plant,Catalpa bignonioides,Southern Catalpa,No Intervention
Vascular Plant,Catalpa speciosa,Northern Catalpa,No Intervention
Vascular Plant,Agastache nepetoides,"Giant Hyssop, Hyssop",No Intervention
Vascular Plant,Agastache scrophulariifolia,"Giant Hyssop, Purple Giant Hyssop",No Intervention
Vascular Plant,Ajuga reptans,"Bugleweed, Carpet-Bugel",No Intervention
Vascular Plant,Blephilia hirsuta,"Hairy Woodmint, Woodmint",No Intervention
Vascular Plant,Calamintha nepeta,Lesser Calamint,No Intervention
Vascular Plant,Callicarpa americana,"Beauty-Berry, French Mulberry",No Intervention
Vascular Plant,Clinopodium vulgare,Basil,No Intervention
Vascular Plant,Collinsonia canadensis,"Canada Horse-Balm, Stoneroot",No Intervention
Vascular Plant,Collinsonia verticillata,Whorled Horsebalm,No Intervention
Vascular Plant,Cunila origanoides,"Common Dittany, Dittany",No Intervention
Vascular Plant,Elsholtzia ciliata,Crested Latesummer Mint,No Intervention
Vascular Plant,Galeopsis tetrahit,Brittlestem Hempnettle,No Intervention
Vascular Plant,Glechoma hederacea,"Gill-Over-The-Ground, Ground Ivy",No Intervention
Vascular Plant,Hedeoma pulegioides,American Pennyroyal,No Intervention
Vascular Plant,Lamium amplexicaule,"Common Deadnettle, Henbit",No Intervention
Vascular Plant,Lamium purpureum,"Purple Deadnettle, Purple Dead-Nettle",No Intervention
Vascular Plant,Leonurus cardiaca,"Common Mother-Wort, Motherwort",No Intervention
Vascular Plant,Lycopus americanus,American Bugleweed,No Intervention
Vascular Plant,Lycopus rubellus,Taperleaf Waterhorehound,No Intervention
Vascular Plant,Lycopus uniflorus,"Bugleweed, Northern Bugleweed",No Intervention
Vascular Plant,Lycopus virginicus,"Virginia Bugleweed, Virginia Water-Horehound",No Intervention
Vascular Plant,Lycopus X sherardii,Sherard's Waterhorehound,No Intervention
Vascular Plant,Marrubium vulgare,Horehound,No Intervention
Vascular Plant,Melissa officinalis,"Common Balm, Garden Balm",No Intervention
Vascular Plant,Mentha arvensis,Corn Mint,No Intervention
Vascular Plant,Mentha spicata,Spearmint,No Intervention
Vascular Plant,Mentha suaveolens,"Apple Mint, Bigleaf Mint, Mint",No Intervention
Vascular Plant,Mentha X gracilis,Mint,No Intervention
Vascular Plant,Mentha X piperita,Peppermint,No Intervention
Vascular Plant,Monarda clinopodia,"Basal Bee-Balm, Horse-Mint",No Intervention
Vascular Plant,Monarda didyma,"Bee-Balm, Oswego Tea Bee-Balm",No Intervention
Vascular Plant,Monarda fistulosa,Wild Bergamot Bee-Balm,No Intervention
Vascular Plant,Monarda media,"Purple Bee-Balm, Purple Bergamot",No Intervention
Vascular Plant,Monarda punctata,"Bee-Balm, Horsemint",No Intervention
Vascular Plant,Nepeta cataria,Catnip,No Intervention
Vascular Plant,Perilla frutescens,"Beefsteak Plant, Beef-Steak Plant",No Intervention
Vascular Plant,Physostegia virginiana,"False Dragonhead, False Dragon-Head",No Intervention
Vascular Plant,Physostegia virginiana ssp. praemorsa,Obedient Plant,No Intervention
Vascular Plant,Physostegia virginiana ssp. virginiana,Obedient Plant,No Intervention
Vascular Plant,Prunella vulgaris,"Heal-All, Self-Heal",No Intervention
Vascular Plant,Pycnanthemum beadlei,Beadle's Mountainmint,No Intervention
Vascular Plant,Pycnanthemum incanum,Hoary Mountainmint,No Intervention
Vascular Plant,Pycnanthemum loomisii,Hoary Mountain-Mint,No Intervention
Vascular Plant,Pycnanthemum montanum,"Mountain-Mint, Single-Haired Mountain-Mint",No Intervention
Vascular Plant,Pycnanthemum muticum,"Blunt Mountainmint, Clustered Mountainmint",No Intervention
Vascular Plant,Pycnanthemum pycnanthemoides,Southern Mountainmint,No Intervention
Vascular Plant,Pycnanthemum tenuifolium,"Narrow-Leaved Mountain-Mint, Slender Mountain-Mint",No Intervention
Vascular Plant,Pycnanthemum virginianum,Virginia Mountainmint,No Intervention
Vascular Plant,Salvia lyrata,"Lyre-Leaf Sage, Lyre-Leaved Sage",No Intervention
Vascular Plant,Salvia urticifolia,Nettleleaf Sage,No Intervention
Vascular Plant,Scutellaria elliptica,Hairy Skullcap,No Intervention
Vascular Plant,Scutellaria elliptica var. elliptica,Hairy Skullcap,No Intervention
Vascular Plant,Scutellaria elliptica var. hirsuta,Hairy Skullcap,No Intervention
Vascular Plant,Scutellaria incana,"Downy Skullcap, Hoary Skullcap",No Intervention
Vascular Plant,Scutellaria incana var. incana,Hoary Skullcap,No Intervention
Vascular Plant,Scutellaria incana var. punctata,Hoary Skullcap,No Intervention
Vascular Plant,Scutellaria integrifolia,"Entire-Leaved Skullcap, Hyssop Skullcap",No Intervention
Vascular Plant,Scutellaria lateriflora,"Mad Dog Skullcap, Mad-Dog Skullcap",No Intervention
Vascular Plant,Scutellaria ovata,Heart-Leaved Skullcap,No Intervention
Vascular Plant,Scutellaria saxatilis,Rock Skullcap,No Intervention
Vascular Plant,Scutellaria serrata,Showy Skullcap,No Intervention
Vascular Plant,Stachys clingmanii,"Clingman Hedge-Nettle, Clingman's Hedge-Nettle",No Intervention
Vascular Plant,Stachys latidens,Broadtooth Hedgenettle,No Intervention
Vascular Plant,Stachys nuttallii,Hairy Hedge-Nettle,No Intervention
Vascular Plant,Stachys tenuifolia,"Slender Betony, Smooth Hedgenettle, Smooth Hedge-Nettle",No Intervention
Vascular Plant,Stachys tenuifolia var. latidens,Rough Hedge-Nettle,No Intervention
Vascular Plant,Synandra hispidula,"Gyandotte Beauty, Synandra",No Intervention
Vascular Plant,Teucrium canadense var. canadense,"American Germander, Canada Germander",No Intervention
Vascular Plant,Teucrium canadense var. virginicum,Wood-Sage,No Intervention
Vascular Plant,Trichostema dichotomum,"Bluecurls, Forked Bluecurls",No Intervention
Vascular Plant,Lindernia dubia,"Moistbank Pimpernel, Yellow-Seed False-Pimpernel",No Intervention
Vascular Plant,Lindernia dubia var. anagallidea,False Pimpernel,No Intervention
Vascular Plant,Lindernia dubia var. dubia,False Pimpernel,No Intervention
Vascular Plant,Chionanthus virginicus,"Fringe Tree, Fringe-Tree",No Intervention
Vascular Plant,Forsythia suspensa,"Forsythia, Weeping Forsythia",No Intervention
Vascular Plant,Forsythia viridissima,"Forsythia, Green-Stem Forsythia",No Intervention
Vascular Plant,Fraxinus americana,White Ash,No Intervention
Vascular Plant,Fraxinus pennsylvanica,Green Ash,No Intervention
Vascular Plant,Fraxinus profunda,Pumpkin Ash,No Intervention
Vascular Plant,Fraxinus quadrangulata,Blue Ash,No Intervention
Vascular Plant,Ligustrum sinense,Chinese Privet,No Intervention
Vascular Plant,Ligustrum vulgare,"Common Privet, European Privet",No Intervention
Vascular Plant,Syringa vulgaris,Common Lilac,No Intervention
Vascular Plant,Agalinis purpurea,"Large-Purple False-Foxglove, Purple Gerardia",No Intervention
Vascular Plant,Agalinis setacea,"Narrow-Leaved Gerardia, Thread-Leaved Gerardia",No Intervention
Vascular Plant,Agalinis tenuifolia,"Slender False-Foxglove, Slender Gerardia",No Intervention
Vascular Plant,Aureolaria flava,"Yellow False-Foxglove, Yellow Gerardia",No Intervention
Vascular Plant,Aureolaria laevigata,"Downy Yellow Foxglove, Smooth Gerardia",No Intervention
Vascular Plant,Aureolaria pectinata,"Comb-Leaf Oakleach, Cut-Leaved Gerardia",No Intervention
Vascular Plant,Aureolaria pedicularia,Fernleaf Yellow False Foxglove,No Intervention
Vascular Plant,Aureolaria virginica,Downy False-Foxglove,No Intervention
Vascular Plant,Buchnera americana,American Bluehearts,No Intervention
Vascular Plant,Castilleja coccinea,"Indian Paint-Brush, Scarlet Indian-Paintbrush",No Intervention
Vascular Plant,Conopholis americana,"Squawroot, Squaw-Root",No Intervention
Vascular Plant,Epifagus virginiana,Beechdrops,No Intervention
Vascular Plant,Melampyrum lineare,Cow Wheat,No Intervention
Vascular Plant,Orobanche uniflora,"Naked Broomrape, One-Flowered Cancer-Root",No Intervention
Vascular Plant,Pedicularis canadensis,"Early Wood Lousewort, Wood Betony",No Intervention
Vascular Plant,Pedicularis lanceolata,Swamp Lousewort,No Intervention
Vascular Plant,Paulownia tomentosa,"Princess Tree, Royal Paulownia",No Intervention
Vascular Plant,Mazus miquelii,Mazus,No Intervention
Vascular Plant,Mazus pumilus,Mazus,No Intervention
Vascular Plant,Mimulus alatus,"Sharp-Wing Monkeyflower, Winged Monkey Flower",No Intervention
Vascular Plant,Mimulus ringens,"Monkey Flower, Square-Stem Monkeyflower",No Intervention
Vascular Plant,Phryma leptostachya,Lopseed,No Intervention
Vascular Plant,Callitriche heterophylla,"Larger Water-Starwort, Water Star-Wort",No Intervention
Vascular Plant,Callitriche terrestris,Water Star-Wort,No Intervention
Vascular Plant,Chelone glabra,Turtlehead,No Intervention
Vascular Plant,Chelone lyonii,Pink Turtlehead,No Intervention
Vascular Plant,Chelone obliqua,"Lance-Leaved Turtlehead, Red Turtlehead",No Intervention
Vascular Plant,Digitalis purpurea,"Fox-Glove, Purple Foxglove",No Intervention
Vascular Plant,Gratiola floridana,Florida Hedgehyssop,No Intervention
Vascular Plant,Gratiola neglecta,"Clammy Hedge-Hyssop, Hedge-Hyssop",No Intervention
Vascular Plant,Gratiola virginiana,"Roundfruit Hedge-Hyssop, Virginia Hedge-Hyssop",No Intervention
Vascular Plant,Gratiola viscidula,Short's Hedgehyssop,No Intervention
Vascular Plant,Kickxia elatine,Sharpleaf Cancerwort,No Intervention
Vascular Plant,Linaria vulgaris,Butter-And-Eggs,No Intervention
Vascular Plant,Nuttallanthus canadensis,Old-Field Toadflax,No Intervention
Vascular Plant,Penstemon calycosus,Longsepal Beardtongue,No Intervention
Vascular Plant,Penstemon canescens,"Gray Beardtongue, Hairy Beard-Tongue",No Intervention
Vascular Plant,Penstemon digitalis,"Foxglove Beardtongue, Large-Flowered Beard Tongue",No Intervention
Vascular Plant,Penstemon laevigatus,"Smooth Beardtongue, Smooth Beard-Tongue",No Intervention
Vascular Plant,Penstemon smallii,"Small's Beardtongue, Small's Beard-Tongue",No Intervention
Vascular Plant,Plantago,"Indianwheat, Plantain",No Intervention
Vascular Plant,Plantago aristata,"Bracted Plantain, Large-Bract Plantain",No Intervention
Vascular Plant,Plantago lanceolata,"English Plantain, Ribgrass",No Intervention
Vascular Plant,Plantago major,"Nipple-Seed Plantain, Plantain",No Intervention
Vascular Plant,Plantago pusilla,"Dwarf Plantain, Small Plantain",No Intervention
Vascular Plant,Plantago rugelii,"Black-Seed Plantain, White Man's Footprint",No Intervention
Vascular Plant,Plantago virginica,"Pale-Seeded Plantain, Virginia Plantain",No Intervention
Vascular Plant,Veronica agrestis,"Field Speedwell, Green Field Speedwell",No Intervention
Vascular Plant,Veronica anagallis-aquatica,Brook-Pimpernell,No Intervention
Vascular Plant,Veronica arvensis,Corn Speedwell,No Intervention
Vascular Plant,Veronica hederifolia,Ivy-Leaved Speedwell,No Intervention
Vascular Plant,Veronica officinalis,"Common Speedwell, Gypsy-Weed",No Intervention
Vascular Plant,Veronica peregrina,Purslane Speedwell,No Intervention
Vascular Plant,Veronica persica,"Perscians' Speedwell, Speedwell",No Intervention
Vascular Plant,Veronica serpyllifolia,Thyme-Leaved Speedwell,No Intervention
Vascular Plant,Veronicastrum virginicum,"Culver's Root, Culver's-Root",No Intervention
Vascular Plant,Buddleja davidii,Orange Eye Butterflybush,No Intervention
Vascular Plant,Scrophularia marilandica,"Carpenter's Square Figwort, Figwort",No Intervention
Vascular Plant,Verbascum blattaria,"Moth Mullein, White Moth Mullein",No Intervention
Vascular Plant,Verbascum thapsus,"Common Mullein, Great Mullein",No Intervention
Vascular Plant,Verbascum virgatum,Wand Mullein,No Intervention
Vascular Plant,Polypremum procumbens,Juniper-Leaf,No Intervention
Vascular Plant,Phyla lanceolata,Lanceleaf Fogfruit,No Intervention
Vascular Plant,Verbena brasiliensis,"Blue Vervain, Brazillian Vervain",No Intervention
Vascular Plant,Verbena simplex,"Narrow-Leaved Vervain, Vervain",No Intervention
Vascular Plant,Verbena urticifolia,White Vervain,No Intervention
Vascular Plant,Calycanthus floridus,"Carolina-Allspice, Eastern Sweetshrub",No Intervention
Vascular Plant,Calycanthus floridus var. floridus,Eastern Sweetshrub,No Intervention
Vascular Plant,Calycanthus floridus var. glaucus,Sweetshrub,No Intervention
Vascular Plant,Lindera benzoin,Spicebush,No Intervention
Vascular Plant,Sassafras albidum,Sassafras,No Intervention
Vascular Plant,Uvularia grandiflora,Large-Flowered Bellwort,No Intervention
Vascular Plant,Uvularia perfoliata,Perfoliate Bellwort,No Intervention
Vascular Plant,Uvularia puberula,Mountain Bellwort,No Intervention
Vascular Plant,Uvularia sessilifolia,"Sessile-Leaf Bellwort, Wild Oats",No Intervention
Vascular Plant,Clintonia borealis,"Bluebead Lily, Clinton Lily",No Intervention
Vascular Plant,Clintonia umbellulata,"Speckled Wood Lily, White Clintonia",No Intervention
Vascular Plant,Erythronium americanum,"American Troutlily, Yellow Trout-Lily",No Intervention
Vascular Plant,Erythronium umbilicatum ssp. umbilicatum,Dimpled Troutlily,No Intervention
Vascular Plant,Lilium canadense ssp. editorum,Canada Lily,No Intervention
Vascular Plant,Lilium grayi,Gray's Lily,Species of Concern
Vascular Plant,Lilium lancifolium,Tiger Lily,No Intervention
Vascular Plant,Lilium michauxii,Carolina Lily,No Intervention
Vascular Plant,Lilium philadelphicum,"Philadelphia Wood Lily, Wood Lily",No Intervention
Vascular Plant,Lilium superbum,Turk's Cap Lily,No Intervention
Vascular Plant,Medeola virginiana,"Indian Cucumber, Indian Cucumber-Root",No Intervention
Vascular Plant,Ornithogalum umbellatum,"Common Star-Of-Bethlehem, Star-Of-Bethlehem",No Intervention
Vascular Plant,Prosartes lanuginosum,Yellow Mandarin,No Intervention
Vascular Plant,Prosartes maculatum,Spotted Mandarin,No Intervention
Vascular Plant,Streptopus amplexifolius var. amplexifolius,"American Twistedstalk, Claspleaf Twistedstalk",No Intervention
Vascular Plant,Streptopus lanceolatus var. lanceolatus,Twistedstalk,No Intervention
Vascular Plant,Streptopus lanceolatus var. roseus,Twistedstalk,No Intervention
Vascular Plant,Streptopus roseus,"Rose Twisted-Stalk, Rosy Twisted-Stalk",No Intervention
Vascular Plant,Amianthium muscitoxicum,Fly Poison,No Intervention
Vascular Plant,Chamaelirium luteum,"Devil's-Bit, Fairy Wand",No Intervention
Vascular Plant,Melanthium latifolium,"Bunch-Flower, Hybrid Bunchflower",No Intervention
Vascular Plant,Melanthium parviflorum,"Small-Flowered False Hellebore, Small-Flowered False-Helleborne",No Intervention
Vascular Plant,Stenanthium gramineum,"Eastern Featherbells, Featherbells",No Intervention
Vascular Plant,Trillium catesbaei,Catesby's Trillium,No Intervention
Vascular Plant,Trillium cuneatum,"Little Sweet Trillium, Sessile-Flowered Maroon Trillium",No Intervention
Vascular Plant,Trillium erectum,"Ill-Scent Trillium, Wake Robin",No Intervention
Vascular Plant,Trillium flexipes,Jennison's White Trillium,No Intervention
Vascular Plant,Trillium grandiflorum,"Large-Flower Trillium, White Trillium",No Intervention
Vascular Plant,Trillium luteum,Yellow Trillium,No Intervention
Vascular Plant,Trillium pusillum var. pusillum,Dwarf Wakerobin,Species of Concern
Vascular Plant,Trillium rugelii,Southern Nodding Trillium,No Intervention
Vascular Plant,Trillium simile,Sweet White Trillium,No Intervention
Vascular Plant,Trillium undulatum,Painted Trillium,No Intervention
Vascular Plant,Trillium vaseyi,Vasey's Trillium,No Intervention
Vascular Plant,Veratrum viride,"American False-Helleborne, False Hellebore",No Intervention
Vascular Plant,Xerophyllum asphodeloides,Eastern Turkeybeard,No Intervention
Vascular Plant,Smilax biltmoreana,Carrion Flower,No Intervention
Vascular Plant,Smilax bona-nox,"Catbrier, Saw Greenbrier",No Intervention
Vascular Plant,Smilax glauca,"Glaucous Catbrier, Glaucous-Leaved Greenbrier",No Intervention
Vascular Plant,Smilax herbacea,"Carrion Flower, Smooth Herbaceous Greenbrier",No Intervention
Vascular Plant,Smilax hugeri,"Huger's Carrion Flower, Huger's Carrion-Flower",No Intervention
Vascular Plant,Smilax pulverulenta,Downy Carrionflower,No Intervention
Vascular Plant,Smilax rotundifolia,"Common Greenbrier, Greenbrier",No Intervention
Vascular Plant,Smilax tamnoides,"Bristly Greenbrier, Hispid Greenbrier",No Intervention
Vascular Plant,Huperzia appalachiana,Fir Clubmoss,No Intervention
Vascular Plant,Huperzia lucidula,"Shining Clubmoss, Shining Club-Moss",No Intervention
Vascular Plant,Huperzia porophila,Rock Clubmoss,No Intervention
Vascular Plant,Huperzia selago var. densa,Fir Clubmoss,No Intervention
Vascular Plant,Huperzia selago var. selago,Fir Clubmoss,No Intervention
Vascular Plant,Lycopodium annotinum,Stiff Clubmoss,No Intervention
Vascular Plant,Lycopodium clavatum,"Running Clubmoss, Running Pine",No Intervention
Vascular Plant,Lycopodium complanatum,Running-Pine,No Intervention
Vascular Plant,Lycopodium dendroideum,Tree Groundpine,No Intervention
Vascular Plant,Lycopodium digitatum,Running-Pine,No Intervention
Vascular Plant,Lycopodium hickeyi,Ground Pine,No Intervention
Vascular Plant,Lycopodium obscurum,Ground Pine,No Intervention
Vascular Plant,Lycopodium tristachyum,"Deep-Root Clubmoss, Ground Cedar",No Intervention
Vascular Plant,Asimina triloba,"Pawpaw, Paw-Paw",No Intervention
Vascular Plant,Liriodendron tulipifera,"Tulip Tree, Tuliptree, Yellow Poplar",No Intervention
Vascular Plant,Magnolia acuminata,"Cucumber Magnolia, Cucumber-Tree",No Intervention
Vascular Plant,Magnolia fraseri,Fraser Magnolia,No Intervention
Vascular Plant,Magnolia grandiflora,"Large-Flower Magnolia, Southern Magnolia",No Intervention
Vascular Plant,Magnolia macrophylla,"Bigleaf Magnolia, Big-Leaved Magnolia",No Intervention
Vascular Plant,Magnolia tripetala,Umbrella Magnolia,No Intervention
Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",No Intervention
Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",No Intervention
Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",No Intervention
Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",No Intervention
Vascular Plant,Chamaesyce nutans,Eyebane,No Intervention
Vascular Plant,Croton glandulosus var. septentrionalis,Vente Conmigo,No Intervention
Vascular Plant,Croton monanthogynus,Prairie Tea,No Intervention
Vascular Plant,Euphorbia commutata,"Spurge, Wood Spurge",No Intervention
Vascular Plant,Euphorbia corollata,"Flowering Spruge, Flowering Spurge",No Intervention
Vascular Plant,Euphorbia cyparissias,Cypress Spurge,No Intervention
